Order ID,Order Date,Ship Date,Customer ID,Customer Name,Customer Segment,Product ID,Product Name,Category,Region,State,City,Quantity,Unit Price,Discount (%),Sales Amount,Cost Price,Profit,Stock Left,Auto Reorder,Reorder Quantity,Supplier Name,Supplier Email,Payment Mode,Delivery Status
ORD1000,2025-06-06,2025-06-09,CUST405,Michael Salazar,Consumer,PROD2679,Cooking Oil,Grocery,East,Maryland,Benjaminbury,9,641,15,4903.65,3961.55,942.1,40,No,0,Gutierrez-Torres,jonesregina@smith.biz,Cash,Pending
ORD1001,2025-07-15,2025-07-21,CUST264,Christine Whitehead,Consumer,PROD3511,Monitor,Electronics,South,New Hampshire,Shawberg,4,1693,5,6433.4,4435.63,1997.77,1,Yes,40,"Gallegos, Rodriguez and Yates",hernandezdeanna@campbell.org,Credit Card,Cancelled
ORD1002,2024-09-07,2024-09-11,CUST182,Tracy Ramirez,Corporate,PROD4806,Study Table,Furniture,East,Vermont,Alexanderton,7,1175,20,6580.0,5252.78,1327.22,39,No,0,Simmons LLC,egreen@smith-graves.com,UPI,Returned
ORD1003,2025-05-11,2025-05-12,CUST815,Christopher Murray,Home Office,PROD8913,Monitor,Electronics,East,Missouri,South Jason,9,4077,10,33023.7,22307.54,10716.16,19,No,0,Ford LLC,rramirez@thompson.com,Cash,Delivered
ORD1004,2024-10-21,2024-10-28,CUST777,Brittney Pollard,Home Office,PROD8613,Pen,Office Supplies,West,Kentucky,New Peterchester,10,2725,20,21800.0,13278.23,8521.77,19,No,0,"Martin, Singh and Hernandez",lopezcarla@lynch.org,Cash,Pending
ORD1005,2024-12-17,2024-12-18,CUST975,Jessica Hanna,Consumer,PROD7802,Cooking Oil,Grocery,North,Minnesota,Port Kyle,2,4332,20,6931.2,5615.02,1316.18,27,No,0,Lozano Group,gregoryhaas@dean-matthews.com,Cash,Delivered
ORD1006,2025-11-11,2025-11-15,CUST444,Donald Salas,Corporate,PROD9804,Dining Table,Furniture,West,California,Lake Melissaburgh,6,1896,10,10238.4,8977.25,1261.15,27,No,0,Welch-Keith,jesseburton@cox.com,Net Banking,Delivered
ORD1007,2024-10-11,2024-10-12,CUST771,Annette Maldonado,Corporate,PROD7745,Sofa,Furniture,West,South Dakota,West Barbarashire,7,4825,20,27020.0,23356.74,3663.26,41,No,0,Harmon Group,roberthorton@mcintyre-morales.com,UPI,Delivered
ORD1008,2026-02-09,2026-02-15,CUST264,William Montgomery,Home Office,PROD2675,File Folder,Office Supplies,South,Kansas,Danielleton,9,3994,15,30554.1,26676.94,3877.16,44,No,0,"Hernandez, Thomas and Johnson",ktate@evans.com,UPI,Cancelled
ORD1009,2024-10-30,2024-11-06,CUST113,Connie Jackson,Home Office,PROD9379,Calculator,Office Supplies,West,Colorado,Port Donna,9,1585,15,12125.25,10036.59,2088.66,30,No,0,"Erickson, Vincent and Strickland",thompsonsandra@allen-armstrong.org,Net Banking,Delivered
ORD1010,2026-01-17,2026-01-23,CUST395,Claire Wood,Consumer,PROD6233,Snacks,Grocery,East,Alabama,West Brookebury,7,1071,15,6372.45,5147.13,1225.32,33,No,0,Lewis PLC,tanya38@bailey-lee.com,Net Banking,Pending
ORD1011,2024-12-16,2024-12-23,CUST362,Julie Simmons,Consumer,PROD3312,Stapler,Office Supplies,East,Kansas,North Robert,10,1575,0,15750.0,9937.9,5812.1,16,No,0,Farmer Group,jonesandrew@conley-warren.com,UPI,Cancelled
ORD1012,2024-11-30,2024-12-01,CUST475,Tammy Clarke,Corporate,PROD2665,Juice Pack,Grocery,North,Delaware,Rojaston,8,1852,5,14075.2,9260.18,4815.02,30,No,0,Mcdonald-Allen,fparks@jordan.com,Net Banking,Returned
ORD1013,2026-01-21,2026-01-26,CUST830,Robin Adams,Corporate,PROD7726,Cooking Oil,Grocery,East,North Carolina,Victoriaberg,5,3263,10,14683.5,10875.43,3808.07,5,Yes,23,"Berger, Kim and Young",poncechristina@coffey.net,UPI,Delivered
ORD1014,2024-11-28,2024-12-05,CUST492,Mark Morrison,Corporate,PROD3093,Snacks,Grocery,West,Washington,New Angel,4,742,0,2968.0,2653.06,314.94,8,Yes,36,Turner PLC,james25@sanford-martinez.net,Cash,Pending
ORD1015,2025-10-16,2025-10-21,CUST100,Anthony Rodriguez,Consumer,PROD5392,Office Chair,Furniture,North,Wyoming,West Beverlyshire,4,3804,0,15216.0,10005.63,5210.37,29,No,0,Gonzalez and Sons,madison08@garcia.org,Credit Card,Returned
ORD1016,2025-11-16,2025-11-17,CUST161,Cameron Figueroa,Consumer,PROD4143,Snacks,Grocery,North,Delaware,Crystalstad,4,4996,20,15987.2,13479.15,2508.05,25,No,0,Gordon-Walters,mary83@fitzpatrick.com,UPI,Returned
ORD1017,2024-08-09,2024-08-10,CUST392,David Gentry,Consumer,PROD2416,Laptop,Electronics,South,North Dakota,Danielshire,3,1750,10,4725.0,3210.07,1514.93,9,Yes,24,Reynolds Ltd,pdean@ramirez.com,Net Banking,Cancelled
ORD1018,2024-08-15,2024-08-21,CUST241,Jessica Mercado,Consumer,PROD2953,Cooking Oil,Grocery,West,New Hampshire,Lisamouth,10,4396,15,37366.0,24427.43,12938.57,16,No,0,Cantu Group,lynn77@heath-williams.org,Net Banking,Cancelled
ORD1019,2025-07-28,2025-08-01,CUST620,Sean Rivera,Corporate,PROD7694,Rice Bag,Grocery,North,Alaska,South Cheryl,3,4816,15,12280.8,7977.57,4303.23,40,No,0,"Wilkins, Diaz and Robinson",brookemoore@hill.com,Cash,Returned
